county_name,state,zhvi
Alameda,CA,1086737.361423184
Alpine,CA,514117.0466313963
Amador,CA,418138.1429638785
Butte,CA,402207.3862112646
Calaveras,CA,433276.4396988584
Colusa,CA,370444.64884664706
Contra Costa,CA,789907.5038023079
Del Norte,CA,366285.8046143974
El Dorado,CA,653105.8808273472
Fresno,CA,409962.2343493073
Glenn,CA,362262.5915798662
Humboldt,CA,425013.47748555057
Imperial,CA,378175.4465862157
Inyo,CA,529157.6142738928
Kern,CA,363090.7084658385
Kings,CA,364475.8862628353
Lake,CA,305225.79496457963
Lassen,CA,231144.782087356
Los Angeles,CA,888344.9533551793
Madera,CA,425121.01268523413
Marin,CA,1469865.843746683
Mariposa,CA,401079.4769249545
Mendocino,CA,489567.4449486822
Merced,CA,418061.5227584595
Modoc,CA,191780.9642884009
Mono,CA,755676.5765760901
Monterey,CA,849200.7983293064
Napa,CA,887245.1685076471
Nevada,CA,611865.3018965954
Orange,CA,1194407.4204478988
Placer,CA,685953.9193593605
Plumas,CA,362742.870280535
Riverside,CA,608606.297831504
Sacramento,CA,530242.8019660596
San Benito,CA,771496.498543346
San Bernardino,CA,551490.5117020494
San Diego,CA,941930.5083986073
San Francisco,CA,1357007.3513722506
San Joaquin,CA,532711.3058919559
San Luis Obispo,CA,906921.6541078
San Mateo,CA,1606596.3820100958
Santa Barbara,CA,994383.5762182188
Santa Clara,CA,1679213.2950547617
Santa Cruz,CA,1149399.6588300867
Shasta,CA,370887.8737649662
Sierra,CA,328754.43212889484
Siskiyou,CA,278754.7170863385
Solano,CA,577137.5893329842
Sonoma,CA,792143.0110032599
Stanislaus,CA,467165.81570995064
Sutter,CA,438590.83830835944
Tehama,CA,318463.57923254813
Trinity,CA,246519.77765609053
Tulare,CA,360206.0496636455
Tuolumne,CA,388487.8398804056
Ventura,CA,885254.2297211302
Yolo,CA,622227.2597497207
Yuba,CA,418796.79847381846
